sound.files,selec,start,end,spp,Call,
Anou.cul.GC.001.WAV,1,1.240363228,1.241443131,Anoura_cultrata,A,
Anou.cul.GC.001.WAV,2,1.269298367,1.269944496,Anoura_cultrata,A,
Anou.cul.GC.001.WAV,3,1.295035689,1.295667133,Anoura_cultrata,A,
Anou.cul.GC.001.WAV,4,4.324055251,4.324823643,Anoura_cultrata,B,
Anou.cul.GC.001.WAV,6,4.418189219,4.419099673,Anoura_cultrata,C,
Anou.cul.GC.001.WAV,7,4.437995309,4.438659864,Anoura_cultrata,C,
Anou.cul.GC.001.WAV,8,4.506699056,4.507168967,Anoura_cultrata,D,
Anou.cul.GC.001.WAV,9,4.524501897,4.525148025,Anoura_cultrata,D,
Anou.cul.GC.001.WAV,10,4.544529667,4.545422663,Anoura_cultrata,D,
Anou.cul.GC.001.WAV,11,4.616067513,4.616648999,Anoura_cultrata,E,
Anou.cul.GC.001.WAV,12,4.63419369,4.634854503,Anoura_cultrata,E,
Anou.cul.GC.001.WAV,13,4.655349698,4.65619407,Anoura_cultrata,E,
Anou.cul.GC.001.WAV,14,4.774953421,4.775717027,Anoura_cultrata,F,
Anou.cul.GC.001.WAV,15,4.797132012,4.797921171,Anoura_cultrata,F,
Anou.cul.GC.001.WAV,16,9.512576547,9.513337049,Anoura_cultrata,G,
Anou.cul.GC.001.WAV,17,9.545161927,9.545712604,Anoura_cultrata,G,
Anou.cul.GC.001.WAV,21,9.736904946,9.737609813,Anoura_cultrata,H,
Anou.cul.GC.001.WAV,22,9.75224977,9.753182646,Anoura_cultrata,H,
Anou.cul.GC.001.WAV,25,9.928801826,9.929616829,Anoura_cultrata,I,
Anou.cul.GC.001.WAV,26,9.944888953,9.945696614,Anoura_cultrata,I,
Anou.cul.GC.001.WAV,27,9.997878492,9.998686152,Anoura_cultrata,I,
Anou.cul.GC.001.WAV,28,10.01428836,10.01522818,Anoura_cultrata,I,
Anou.cul.GC.001.WAV,29,10.03279112,10.03359144,Anoura_cultrata,I,
Anou.cul.GC.001.WAV,30,10.09076772,10.09195719,Anoura_cultrata,I,
