Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin.Path	File.Offset..s.	Delta.Time..s.	Song	selec.file	old.selec	channel.1	duration	min.n.samples	sample.rate	channels	bits	sound.file.samples	check.res	especie	fuente	expansion
1306	Spectrogram 1	1	0.049183843	0.049699770	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.0492	51157.900	116210.500	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.054466288	NA	NA	Arti.lit.GC.010.txt	2	1	0.000566927	217	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1307	Spectrogram 1	1	0.051010576	0.051641893	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.0510	46921.875	74156.250	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.056260576	NA	NA	Arti.lit.GC.010.txt	3	1	0.000631317	242	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1308	Spectrogram 1	1	0.072574176	0.073094925	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.0726	49578.900	109894.700	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.077787811	NA	NA	Arti.lit.GC.010.txt	4	1	0.000622409	239	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1309	Spectrogram 1	1	0.095932916	0.096516347	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.0959	49177.000	122181.800	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.101208921	NA	NA	Arti.lit.GC.010.txt	6	1	0.000581486	223	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1310	Spectrogram 1	1	0.121679682	0.122086528	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.1217	49004.800	119425.800	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.126929682	NA	NA	Arti.lit.GC.010.txt	8	1	0.000456882	175	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1311	Spectrogram 1	1	0.168765991	0.169223071	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.1688	46306.200	124019.100	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.174036957	NA	NA	Arti.lit.GC.010.txt	10	1	0.000436114	167	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1312	Spectrogram 1	1	0.193054419	0.193599277	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.1931	45358.900	122181.800	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.198376293	NA	NA	Arti.lit.GC.010.txt	12	1	0.000404963	155	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1313	Spectrogram 1	1	0.218075720	0.218471103	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.2181	44760.213	118047.800	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.223302502	NA	NA	Arti.lit.GC.010.txt	14	1	0.000446499	171	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1314	Spectrogram 1	1	0.244489772	0.244904442	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.2445	40421.100	120861.200	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.249774726	NA	NA	Arti.lit.GC.010.txt	15	1	0.000404963	155	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
1315	Spectrogram 1	1	0.290423242	0.290934347	M00030.WAV-song_Arti.lit.GC.010.txt.wav	D:\JORGE\DB\Dropbox\Jorge Elizondo\Phyllostomid call evolution\data\processed\M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.2904	44095.700	134210.500	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.295674795	NA	NA	Arti.lit.GC.010.txt	16	1	0.000571102	219	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
