Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Delta Time (s)	Song
1	Spectrogram 1	1	1.240363228	1.241443131	59210.5	113815.8	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	1.240	0.001	A
2	Spectrogram 1	1	1.269298367	1.269944496	56578.9	115131.6	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	1.269	0.001	A
3	Spectrogram 1	1	1.295035689	1.295667133	54605.3	112500.0	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	1.295	0.001	A
4	Spectrogram 1	1	4.324055251	4.324823643	65131.6	105921.1	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.324	0.001	B
6	Spectrogram 1	1	4.418189219	4.419099673	53289.5	108552.6	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.418	0.001	C
7	Spectrogram 1	1	4.437995309	4.438659864	53289.5	95394.7	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.438	0.001	C
8	Spectrogram 1	1	4.506699056	4.507168967	59210.5	92763.2	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.507	0.000	D
9	Spectrogram 1	1	4.524501897	4.525148025	57236.8	101315.8	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.525	0.001	D
10	Spectrogram 1	1	4.544529667	4.545422663	45394.7	94736.8	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.545	0.001	D
11	Spectrogram 1	1	4.616067513	4.616648999	64473.7	90131.6	Anou.cul.GC.001.WAV	C:\Users\Nazareth\Desktop\Trabajando para tesis\grab_trab\Anou.cul.GC.001.WAV	4.616	0.001	E
